Year,type of disease,sex,age,Value
2010,d) acute respiratory infections,,under 5 years,0.77
2011,d) acute respiratory infections,,under 5 years,1.15
2012,d) acute respiratory infections,,under 5 years,0.83
2013,d) acute respiratory infections,,under 5 years,0.91
2014,d) acute respiratory infections,,under 5 years,0.90
2015,d) acute respiratory infections,,under 5 years,1.15
2016,d) acute respiratory infections,,under 5 years,0.84
2017,d) acute respiratory infections,,under 5 years,0.47
2018,d) acute respiratory infections,,under 5 years,0.85
2019,d) acute respiratory infections,,under 5 years,0.74
2020,d) acute respiratory infections,,under 5 years,0.58
2021,d) acute respiratory infections,,under 5 years,
2010,a) diarrhoea,,under 5 years,0.32
2011,a) diarrhoea,,under 5 years,0.15
2012,a) diarrhoea,,under 5 years,0.24
2013,a) diarrhoea,,under 5 years,0.35
2014,a) diarrhoea,,under 5 years,0.17
2015,a) diarrhoea,,under 5 years,0.23
2016,a) diarrhoea,,under 5 years,0.33
2017,a) diarrhoea,,under 5 years,0.26
2018,a) diarrhoea,,under 5 years,0.41
2019,a) diarrhoea,,under 5 years,0.15
2020,a) diarrhoea,,under 5 years,0.08
2021,a) diarrhoea,,under 5 years,
2010,b) intestinal nematode infections,,under 5 years,0
2011,b) intestinal nematode infections,,under 5 years,0
2012,b) intestinal nematode infections,,under 5 years,0
2013,b) intestinal nematode infections,,under 5 years,0
2014,b) intestinal nematode infections,,under 5 years,0
2015,b) intestinal nematode infections,,under 5 years,0
2016,b) intestinal nematode infections,,under 5 years,0
2017,b) intestinal nematode infections,,under 5 years,0
2018,b) intestinal nematode infections,,under 5 years,0
2019,b) intestinal nematode infections,,under 5 years,0
2020,b) intestinal nematode infections,,under 5 years,0
2021,b) intestinal nematode infections,,under 5 years,
2010,c) protein-energy malnutrition,,under 5 years,0.03
2011,c) protein-energy malnutrition,,under 5 years,0.00
2012,c) protein-energy malnutrition,,under 5 years,0.00
2013,c) protein-energy malnutrition,,under 5 years,0.00
2014,c) protein-energy malnutrition,,under 5 years,0.00
2015,c) protein-energy malnutrition,,under 5 years,0.00
2016,c) protein-energy malnutrition,,under 5 years,0.00
2017,c) protein-energy malnutrition,,under 5 years,0.00
2018,c) protein-energy malnutrition,,under 5 years,0.00
2019,c) protein-energy malnutrition,,under 5 years,0.00
2020,c) protein-energy malnutrition,,under 5 years,0.00
2021,c) protein-energy malnutrition,,under 5 years,0.00
