Year,Units,timeseries,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2019,billion eur,government fiscal balance,47.0,,,
2020,billion eur,government fiscal balance,-151.1,,,
2021,billion eur,government fiscal balance,-116.4,p,,
2022,billion eur,government fiscal balance,-84.9,p,,
2023,billion eur,government fiscal balance,-107.5,p,,
2024,billion eur,government fiscal balance,-113.0,p,,
2010,billion eur,gross fixed capital formation,501.8,,,
2011,billion eur,gross fixed capital formation,549.6,,,
2012,billion eur,gross fixed capital formation,558.9,,,
2013,billion eur,gross fixed capital formation,561.2,,,
2014,billion eur,gross fixed capital formation,590.4,,,
2015,billion eur,gross fixed capital formation,609.6,,,
2016,billion eur,gross fixed capital formation,640.4,,,
2017,billion eur,gross fixed capital formation,671.1,,,
2018,billion eur,gross fixed capital formation,714.9,,,
2019,billion eur,gross fixed capital formation,748.2,,,
2020,billion eur,gross fixed capital formation,736.5,,,
2021,billion eur,gross fixed capital formation,779.2,p,,
2022,billion eur,gross fixed capital formation,858.3,p,,
2023,billion eur,gross fixed capital formation,899.9,p,,
2024,billion eur,gross fixed capital formation,897.2,p,,
2010,million hours,hours worked by employees,49385,,,
2011,million hours,hours worked by employees,50163,,,
2012,million hours,hours worked by employees,50098,,,
2013,million hours,hours worked by employees,50243,,,
2014,million hours,hours worked by employees,51075,,,
2015,million hours,hours worked by employees,51811,,,
2016,million hours,hours worked by employees,52493,,,
2017,million hours,hours worked by employees,53225,,,
2018,million hours,hours worked by employees,53913,,,
2019,million hours,hours worked by employees,54333,,,
2020,million hours,hours worked by employees,52028,,,
2021,million hours,hours worked by employees,53392,p,,
2022,million hours,hours worked by employees,54177,p,,
2023,million hours,hours worked by employees,54592,p,,
2024,million hours,hours worked by employees,54728,p,,
2010,million hours,hours worked by persons employed,58581,,,
2011,million hours,hours worked by persons employed,59328,,,
2012,million hours,hours worked by persons employed,59143,,,
2013,million hours,hours worked by persons employed,59148,,,
2014,million hours,hours worked by persons employed,59859,,,
2015,million hours,hours worked by persons employed,60460,,,
2016,million hours,hours worked by persons employed,60978,,,
2017,million hours,hours worked by persons employed,61484,,,
2018,million hours,hours worked by persons employed,61964,,,
2019,million hours,hours worked by persons employed,62141,,,
2020,million hours,hours worked by persons employed,59066,,,
2021,million hours,hours worked by persons employed,60456,p,,
2022,million hours,hours worked by persons employed,61211,p,,
2023,million hours,hours worked by persons employed,61437,p,,
2024,million hours,hours worked by persons employed,61370,p,,
2010,2020 = 100,labour productivity per hour worked by employee,94.2,,,
2011,2020 = 100,labour productivity per hour worked by employee,96.2,,,
2012,2020 = 100,labour productivity per hour worked by employee,96.8,,,
2013,2020 = 100,labour productivity per hour worked by employee,96.9,,,
2014,2020 = 100,labour productivity per hour worked by employee,97.4,,,
2015,2020 = 100,labour productivity per hour worked by employee,97.6,,,
2016,2020 = 100,labour productivity per hour worked by employee,98.1,,,
2017,2020 = 100,labour productivity per hour worked by employee,99.8,,,
2018,2020 = 100,labour productivity per hour worked by employee,99.2,,,
2019,2020 = 100,labour productivity per hour worked by employee,99.8,,,
2020,2020 = 100,labour productivity per hour worked by employee,100.0,,,
2021,2020 = 100,labour productivity per hour worked by employee,101.0,p,,
2022,2020 = 100,labour productivity per hour worked by employee,103.6,p,,
2023,2020 = 100,labour productivity per hour worked by employee,99.9,p,,
2024,2020 = 100,labour productivity per hour worked by employee,99.4,p,,
2010,2020 = 100,labour productivity per hour worked by persons employed,90.2,,,
2011,2020 = 100,labour productivity per hour worked by persons employed,92.4,,,
2012,2020 = 100,labour productivity per hour worked by persons employed,93.1,,,
2013,2020 = 100,labour productivity per hour worked by persons employed,93.4,,,
2014,2020 = 100,labour productivity per hour worked by persons employed,94.3,,,
2015,2020 = 100,labour productivity per hour worked by persons employed,94.9,,,
2016,2020 = 100,labour productivity per hour worked by persons employed,96.3,,,
2017,2020 = 100,labour productivity per hour worked by persons employed,98.1,,,
2018,2020 = 100,labour productivity per hour worked by persons employed,98.4,,,
2019,2020 = 100,labour productivity per hour worked by persons employed,99.1,,,
2020,2020 = 100,labour productivity per hour worked by persons employed,100.0,,,
2021,2020 = 100,labour productivity per hour worked by persons employed,101.3,p,,
2022,2020 = 100,labour productivity per hour worked by persons employed,101.4,p,,
2023,2020 = 100,labour productivity per hour worked by persons employed,100.8,p,,
2024,2020 = 100,labour productivity per hour worked by persons employed,100.7,p,,
2010,"number in 1,000",persons employed,41099,,,
2011,"number in 1,000",persons employed,41570,,,
2012,"number in 1,000",persons employed,42065,,,
2013,"number in 1,000",persons employed,42378,,,
2014,"number in 1,000",persons employed,42756,,,
2015,"number in 1,000",persons employed,43137,,,
2016,"number in 1,000",persons employed,43686,,,
2017,"number in 1,000",persons employed,44290,,,
2018,"number in 1,000",persons employed,44878,,,
2019,"number in 1,000",persons employed,45291,,,
2020,"number in 1,000",persons employed,44966,,,
2021,"number in 1,000",persons employed,45053,p,,
2022,"number in 1,000",persons employed,45675,p,,
2023,"number in 1,000",persons employed,46011,p,,
2024,"number in 1,000",persons employed,46083,p,,
2010,2020 = 100,real gdp per capita,92.6,,,
2011,2020 = 100,real gdp per capita,96.1,,,
2012,2020 = 100,real gdp per capita,96.4,,,
2013,2020 = 100,real gdp per capita,96.5,,,
2014,2020 = 100,real gdp per capita,98.2,,,
2015,2020 = 100,real gdp per capita,98.9,,,
2016,2020 = 100,real gdp per capita,100.4,,,
2017,2020 = 100,real gdp per capita,102.7,,,
2018,2020 = 100,real gdp per capita,103.6,,,
2019,2020 = 100,real gdp per capita,104.4,,,
2020,2020 = 100,real gdp per capita,100.0,,,
2021,2020 = 100,real gdp per capita,103.6,p,,
2022,2020 = 100,real gdp per capita,104.3,p,,
2023,2020 = 100,real gdp per capita,103.1,p,,
2024,2020 = 100,real gdp per capita,102.7,p,,
2010,billion eur,trade balance,133.5,,,
2011,billion eur,trade balance,133.3,,,
2012,billion eur,trade balance,169.1,,,
2013,billion eur,trade balance,165.5,,,
2014,billion eur,trade balance,195.2,,,
2015,billion eur,trade balance,228.9,,,
2016,billion eur,trade balance,232.1,,,
2017,billion eur,trade balance,236.0,,,
2018,billion eur,trade balance,205.4,,,
2019,billion eur,trade balance,199.3,,,
2020,billion eur,trade balance,184.4,,,
2021,billion eur,trade balance,189.7,p,,
2022,billion eur,trade balance,98.7,p,,
2023,billion eur,trade balance,167.7,p,,
2024,billion eur,trade balance,172.8,p,,
