Year,timeseries,age group,sex,type of physical violence,type of sexual violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2016,a) physical violence,55 to under 65 years,,,,,,,963
2017,a) physical violence,55 to under 65 years,,,,,,,813
2018,a) physical violence,55 to under 65 years,,,,,,,788
2019,a) physical violence,55 to under 65 years,,,,,,,623
2020,a) physical violence,55 to under 65 years,,,,,,,782
2021,a) physical violence,55 to under 65 years,,,,,,,695
2022,a) physical violence,55 to under 65 years,,,,,,,686
2023,a) physical violence,55 to under 65 years,,,,,,,770
2024,a) physical violence,55 to under 65 years,,,,,,,779
2010,a) physical violence,65 to under 75 years,,,,,,,77
2011,a) physical violence,65 to under 75 years,,,,,,,73
2012,a) physical violence,65 to under 75 years,,,,,,,90
2013,a) physical violence,65 to under 75 years,,,,,,,66
2014,a) physical violence,65 to under 75 years,,,,,,,63
2015,a) physical violence,65 to under 75 years,,,,,,,62
2016,a) physical violence,65 to under 75 years,,,,,,,68
2017,a) physical violence,65 to under 75 years,,,,,,,67
2018,a) physical violence,65 to under 75 years,,,,,,,70
2019,a) physical violence,65 to under 75 years,,,,,,,46
2020,a) physical violence,65 to under 75 years,,,,,,,79
2021,a) physical violence,65 to under 75 years,,,,,,,83
2022,a) physical violence,65 to under 75 years,,,,,,,51
2023,a) physical violence,65 to under 75 years,,,,,,,72
2024,a) physical violence,65 to under 75 years,,,,,,,56
2010,a) physical violence,75 years and older,,,,,,,22
2011,a) physical violence,75 years and older,,,,,,,27
2012,a) physical violence,75 years and older,,,,,,,6
2013,a) physical violence,75 years and older,,,,,,,12
2014,a) physical violence,75 years and older,,,,,,,15
2015,a) physical violence,75 years and older,,,,,,,14
2016,a) physical violence,75 years and older,,,,,,,35
2017,a) physical violence,75 years and older,,,,,,,4
2018,a) physical violence,75 years and older,,,,,,,14
2019,a) physical violence,75 years and older,,,,,,,11
2020,a) physical violence,75 years and older,,,,,,,12
2021,a) physical violence,75 years and older,,,,,,,14
2022,a) physical violence,75 years and older,,,,,,,14
2023,a) physical violence,75 years and older,,,,,,,17
2024,a) physical violence,75 years and older,,,,,,,15
2010,a) physical violence,,female,,,,,,38
2011,a) physical violence,,female,,,,,,29
2012,a) physical violence,,female,,,,,,23
2013,a) physical violence,,female,,,,,,15
2014,a) physical violence,,female,,,,,,20
2015,a) physical violence,,female,,,,,,18
2016,a) physical violence,,female,,,,,,43
2017,a) physical violence,,female,,,,,,16
2018,a) physical violence,,female,,,,,,26
2019,a) physical violence,,female,,,,,,16
2020,a) physical violence,,female,,,,,,21
2021,a) physical violence,,female,,,,,,19
2022,a) physical violence,,female,,,,,,23
2023,a) physical violence,,female,,,,,,18
2024,a) physical violence,,female,,,,,,27
2010,a) physical violence,,male,,,,,,448
2011,a) physical violence,,male,,,,,,424
2012,a) physical violence,,male,,,,,,359
2013,a) physical violence,,male,,,,,,377
2014,a) physical violence,,male,,,,,,405
2015,a) physical violence,,male,,,,,,343
2016,a) physical violence,,male,,,,,,527
2017,a) physical violence,,male,,,,,,414
2018,a) physical violence,,male,,,,,,445
2019,a) physical violence,,male,,,,,,349
2020,a) physical violence,,male,,,,,,378
2021,a) physical violence,,male,,,,,,336
2022,a) physical violence,,male,,,,,,334
2023,a) physical violence,,male,,,,,,430
2024,a) physical violence,,male,,,,,,412
2010,a) physical violence,,,physical assault,,,,,208
2011,a) physical violence,,,physical assault,,,,,185
2012,a) physical violence,,,physical assault,,,,,181
2013,a) physical violence,,,physical assault,,,,,212
2014,a) physical violence,,,physical assault,,,,,213
2015,a) physical violence,,,physical assault,,,,,245
2016,a) physical violence,,,physical assault,,,,,290
2017,a) physical violence,,,physical assault,,,,,312
2018,a) physical violence,,,physical assault,,,,,233
2019,a) physical violence,,,physical assault,,,,,201
2020,a) physical violence,,,physical assault,,,,,292
2021,a) physical violence,,,physical assault,,,,,243
2022,a) physical violence,,,physical assault,,,,,264
2023,a) physical violence,,,physical assault,,,,,233
2024,a) physical violence,,,physical assault,,,,,269
2010,a) physical violence,16 to under 25 years,,physical assault,,,,,393
2011,a) physical violence,16 to under 25 years,,physical assault,,,,,338
2012,a) physical violence,16 to under 25 years,,physical assault,,,,,296
2013,a) physical violence,16 to under 25 years,,physical assault,,,,,328
2014,a) physical violence,16 to under 25 years,,physical assault,,,,,339
2015,a) physical violence,16 to under 25 years,,physical assault,,,,,327
2016,a) physical violence,16 to under 25 years,,physical assault,,,,,469
2017,a) physical violence,16 to under 25 years,,physical assault,,,,,380
2018,a) physical violence,16 to under 25 years,,physical assault,,,,,367
2019,a) physical violence,16 to under 25 years,,physical assault,,,,,276
2020,a) physical violence,16 to under 25 years,,physical assault,,,,,357
2021,a) physical violence,16 to under 25 years,,physical assault,,,,,337
2022,a) physical violence,16 to under 25 years,,physical assault,,,,,349
2023,a) physical violence,16 to under 25 years,,physical assault,,,,,374
2024,a) physical violence,16 to under 25 years,,physical assault,,,,,338
2010,a) physical violence,25 to under 35 years,,physical assault,,,,,400
2011,a) physical violence,25 to under 35 years,,physical assault,,,,,400
2012,a) physical violence,25 to under 35 years,,physical assault,,,,,363
2013,a) physical violence,25 to under 35 years,,physical assault,,,,,354
2014,a) physical violence,25 to under 35 years,,physical assault,,,,,377
2015,a) physical violence,25 to under 35 years,,physical assault,,,,,355
2016,a) physical violence,25 to under 35 years,,physical assault,,,,,494
2017,a) physical violence,25 to under 35 years,,physical assault,,,,,433
2018,a) physical violence,25 to under 35 years,,physical assault,,,,,421
2019,a) physical violence,25 to under 35 years,,physical assault,,,,,347
2020,a) physical violence,25 to under 35 years,,physical assault,,,,,425
2021,a) physical violence,25 to under 35 years,,physical assault,,,,,358
2022,a) physical violence,25 to under 35 years,,physical assault,,,,,337
2023,a) physical violence,25 to under 35 years,,physical assault,,,,,396
2024,a) physical violence,25 to under 35 years,,physical assault,,,,,441
2010,a) physical violence,35 to under 45 years,,physical assault,,,,,37
2011,a) physical violence,35 to under 45 years,,physical assault,,,,,24
2012,a) physical violence,35 to under 45 years,,physical assault,,,,,39
2013,a) physical violence,35 to under 45 years,,physical assault,,,,,37
2014,a) physical violence,35 to under 45 years,,physical assault,,,,,24
2015,a) physical violence,35 to under 45 years,,physical assault,,,,,25
2016,a) physical violence,35 to under 45 years,,physical assault,,,,,30
2017,a) physical violence,35 to under 45 years,,physical assault,,,,,28
2018,a) physical violence,35 to under 45 years,,physical assault,,,,,30
2019,a) physical violence,35 to under 45 years,,physical assault,,,,,17
2020,a) physical violence,35 to under 45 years,,physical assault,,,,,43
2021,a) physical violence,35 to under 45 years,,physical assault,,,,,43
2022,a) physical violence,35 to under 45 years,,physical assault,,,,,27
2023,a) physical violence,35 to under 45 years,,physical assault,,,,,39
2024,a) physical violence,35 to under 45 years,,physical assault,,,,,20
2010,a) physical violence,45 to under 55 years,,physical assault,,,,,40
2011,a) physical violence,45 to under 55 years,,physical assault,,,,,49
2012,a) physical violence,45 to under 55 years,,physical assault,,,,,51
2013,a) physical violence,45 to under 55 years,,physical assault,,,,,29
2014,a) physical violence,45 to under 55 years,,physical assault,,,,,39
2015,a) physical violence,45 to under 55 years,,physical assault,,,,,37
2016,a) physical violence,45 to under 55 years,,physical assault,,,,,38
2017,a) physical violence,45 to under 55 years,,physical assault,,,,,39
2018,a) physical violence,45 to under 55 years,,physical assault,,,,,40
2019,a) physical violence,45 to under 55 years,,physical assault,,,,,29
2020,a) physical violence,45 to under 55 years,,physical assault,,,,,36
2021,a) physical violence,45 to under 55 years,,physical assault,,,,,40
2022,a) physical violence,45 to under 55 years,,physical assault,,,,,24
2023,a) physical violence,45 to under 55 years,,physical assault,,,,,33
2024,a) physical violence,45 to under 55 years,,physical assault,,,,,36
2010,a) physical violence,55 to under 65 years,,physical assault,,,,,14
2011,a) physical violence,55 to under 65 years,,physical assault,,,,,12
2012,a) physical violence,55 to under 65 years,,physical assault,,‒,,,0
2013,a) physical violence,55 to under 65 years,,physical assault,,,,,4
2014,a) physical violence,55 to under 65 years,,physical assault,,,,,5
2015,a) physical violence,55 to under 65 years,,physical assault,,,,,9
2016,a) physical violence,55 to under 65 years,,physical assault,,,,,22
2017,a) physical violence,55 to under 65 years,,physical assault,,,,,1
2018,a) physical violence,55 to under 65 years,,physical assault,,,,,8
2019,a) physical violence,55 to under 65 years,,physical assault,,,,,4
2020,a) physical violence,55 to under 65 years,,physical assault,,,,,4
2021,a) physical violence,55 to under 65 years,,physical assault,,,,,7
2022,a) physical violence,55 to under 65 years,,physical assault,,,,,12
2023,a) physical violence,55 to under 65 years,,physical assault,,,,,8
2024,a) physical violence,55 to under 65 years,,physical assault,,,,,7
2010,a) physical violence,65 to under 75 years,,physical assault,,,,,8
2011,a) physical violence,65 to under 75 years,,physical assault,,,,,15
2012,a) physical violence,65 to under 75 years,,physical assault,,,,,6
2013,a) physical violence,65 to under 75 years,,physical assault,,,,,8
2014,a) physical violence,65 to under 75 years,,physical assault,,,,,10
2015,a) physical violence,65 to under 75 years,,physical assault,,,,,5
2016,a) physical violence,65 to under 75 years,,physical assault,,,,,13
2017,a) physical violence,65 to under 75 years,,physical assault,,,,,3
2018,a) physical violence,65 to under 75 years,,physical assault,,,,,6
2019,a) physical violence,65 to under 75 years,,physical assault,,,,,7
2020,a) physical violence,65 to under 75 years,,physical assault,,,,,8
2021,a) physical violence,65 to under 75 years,,physical assault,,,,,7
2022,a) physical violence,65 to under 75 years,,physical assault,,,,,2
2023,a) physical violence,65 to under 75 years,,physical assault,,,,,9
2024,a) physical violence,65 to under 75 years,,physical assault,,,,,8
2010,a) physical violence,75 years and older,,physical assault,,,,,19
2011,a) physical violence,75 years and older,,physical assault,,,,,10
2012,a) physical violence,75 years and older,,physical assault,,,,,10
2013,a) physical violence,75 years and older,,physical assault,,,,,6
2014,a) physical violence,75 years and older,,physical assault,,,,,9
2015,a) physical violence,75 years and older,,physical assault,,,,,9
2016,a) physical violence,75 years and older,,physical assault,,,,,18
2017,a) physical violence,75 years and older,,physical assault,,,,,7
2018,a) physical violence,75 years and older,,physical assault,,,,,12
2019,a) physical violence,75 years and older,,physical assault,,,,,5
2020,a) physical violence,75 years and older,,physical assault,,,,,6
2021,a) physical violence,75 years and older,,physical assault,,,,,4
2022,a) physical violence,75 years and older,,physical assault,,,,,8
2023,a) physical violence,75 years and older,,physical assault,,,,,9
2024,a) physical violence,75 years and older,,physical assault,,,,,13
2010,a) physical violence,,female,physical assault,,,,,19
2011,a) physical violence,,female,physical assault,,,,,19
2012,a) physical violence,,female,physical assault,,,,,13
2013,a) physical violence,,female,physical assault,,,,,9
2014,a) physical violence,,female,physical assault,,,,,11
2015,a) physical violence,,female,physical assault,,,,,9
2016,a) physical violence,,female,physical assault,,,,,25
2017,a) physical violence,,female,physical assault,,,,,9
2018,a) physical violence,,female,physical assault,,,,,14
2019,a) physical violence,,female,physical assault,,,,,11
2020,a) physical violence,,female,physical assault,,,,,15
2021,a) physical violence,,female,physical assault,,,,,15
2022,a) physical violence,,female,physical assault,,,,,15
2023,a) physical violence,,female,physical assault,,,,,9
2024,a) physical violence,,female,physical assault,,,,,14
2010,a) physical violence,,male,physical assault,,,,,202
2011,a) physical violence,,male,physical assault,,,,,180
2012,a) physical violence,,male,physical assault,,,,,139
2013,a) physical violence,,male,physical assault,,,,,159
2014,a) physical violence,,male,physical assault,,,,,180
2015,a) physical violence,,male,physical assault,,,,,141
2016,a) physical violence,,male,physical assault,,,,,236
2017,a) physical violence,,male,physical assault,,,,,176
2018,a) physical violence,,male,physical assault,,,,,184
2019,a) physical violence,,male,physical assault,,,,,144
2020,a) physical violence,,male,physical assault,,,,,142
2021,a) physical violence,,male,physical assault,,,,,140
2022,a) physical violence,,male,physical assault,,,,,136
2023,a) physical violence,,male,physical assault,,,,,184
2024,a) physical violence,,male,physical assault,,,,,150
2010,a) physical violence,,,robbery,,,,,246
2011,a) physical violence,,,robbery,,,,,244
2012,a) physical violence,,,robbery,,,,,220
2013,a) physical violence,,,robbery,,,,,218
2014,a) physical violence,,,robbery,,,,,225
2015,a) physical violence,,,robbery,,,,,202
2016,a) physical violence,,,robbery,,,,,291
2017,a) physical violence,,,robbery,,,,,238
2018,a) physical violence,,,robbery,,,,,261
2019,a) physical violence,,,robbery,,,,,205
2020,a) physical violence,,,robbery,,,,,236
2021,a) physical violence,,,robbery,,,,,196
2022,a) physical violence,,,robbery,,,,,198
2023,a) physical violence,,,robbery,,,,,246
2024,a) physical violence,,,robbery,,,,,262
2010,a) physical violence,16 to under 25 years,,robbery,,,,,121
2011,a) physical violence,16 to under 25 years,,robbery,,,,,112
2012,a) physical violence,16 to under 25 years,,robbery,,,,,108
2013,a) physical violence,16 to under 25 years,,robbery,,,,,122
2014,a) physical violence,16 to under 25 years,,robbery,,,,,121
2015,a) physical violence,16 to under 25 years,,robbery,,,,,143
2016,a) physical violence,16 to under 25 years,,robbery,,,,,163
2017,a) physical violence,16 to under 25 years,,robbery,,,,,168
2018,a) physical violence,16 to under 25 years,,robbery,,,,,133
2019,a) physical violence,16 to under 25 years,,robbery,,,,,106
2020,a) physical violence,16 to under 25 years,,robbery,,,,,162
2021,a) physical violence,16 to under 25 years,,robbery,,,,,143
2022,a) physical violence,16 to under 25 years,,robbery,,,,,166
2023,a) physical violence,16 to under 25 years,,robbery,,,,,134
2024,a) physical violence,16 to under 25 years,,robbery,,,,,148
2010,a) physical violence,25 to under 35 years,,robbery,,,,,87
2011,a) physical violence,25 to under 35 years,,robbery,,,,,73
2012,a) physical violence,25 to under 35 years,,robbery,,,,,73
2013,a) physical violence,25 to under 35 years,,robbery,,,,,90
2014,a) physical violence,25 to under 35 years,,robbery,,,,,92
2015,a) physical violence,25 to under 35 years,,robbery,,,,,102
2016,a) physical violence,25 to under 35 years,,robbery,,,,,127
2017,a) physical violence,25 to under 35 years,,robbery,,,,,144
2018,a) physical violence,25 to under 35 years,,robbery,,,,,100
2019,a) physical violence,25 to under 35 years,,robbery,,,,,95
2020,a) physical violence,25 to under 35 years,,robbery,,,,,130
2021,a) physical violence,25 to under 35 years,,robbery,,,,,100
2022,a) physical violence,25 to under 35 years,,robbery,,,,,98
2023,a) physical violence,25 to under 35 years,,robbery,,,,,99
2024,a) physical violence,25 to under 35 years,,robbery,,,,,121
2010,a) physical violence,35 to under 45 years,,robbery,,,,,343
2011,a) physical violence,35 to under 45 years,,robbery,,,,,318
2012,a) physical violence,35 to under 45 years,,robbery,,,,,287
2013,a) physical violence,35 to under 45 years,,robbery,,,,,308
2014,a) physical violence,35 to under 45 years,,robbery,,,,,340
2015,a) physical violence,35 to under 45 years,,robbery,,,,,293
2016,a) physical violence,35 to under 45 years,,robbery,,,,,325
2017,a) physical violence,35 to under 45 years,,robbery,,,,,336
2018,a) physical violence,35 to under 45 years,,robbery,,,,,310
2019,a) physical violence,35 to under 45 years,,robbery,,,,,282
2020,a) physical violence,35 to under 45 years,,robbery,,,,,332
2021,a) physical violence,35 to under 45 years,,robbery,,,,,286
2022,a) physical violence,35 to under 45 years,,robbery,,,,,271
2023,a) physical violence,35 to under 45 years,,robbery,,,,,341
2024,a) physical violence,35 to under 45 years,,robbery,,,,,304
2010,a) physical violence,45 to under 55 years,,robbery,,,,,232
2011,a) physical violence,45 to under 55 years,,robbery,,,,,228
2012,a) physical violence,45 to under 55 years,,robbery,,,,,182
2013,a) physical violence,45 to under 55 years,,robbery,,,,,224
2014,a) physical violence,45 to under 55 years,,robbery,,,,,241
2015,a) physical violence,45 to under 55 years,,robbery,,,,,210
2016,a) physical violence,45 to under 55 years,,robbery,,,,,238
2017,a) physical violence,45 to under 55 years,,robbery,,,,,231
2018,a) physical violence,45 to under 55 years,,robbery,,,,,204
2019,a) physical violence,45 to under 55 years,,robbery,,,,,187
2020,a) physical violence,45 to under 55 years,,robbery,,,,,225
2021,a) physical violence,45 to under 55 years,,robbery,,,,,207
2022,a) physical violence,45 to under 55 years,,robbery,,,,,198
2023,a) physical violence,45 to under 55 years,,robbery,,,,,253
2024,a) physical violence,45 to under 55 years,,robbery,,,,,203
2010,a) physical violence,55 to under 65 years,,robbery,,,,,111
2011,a) physical violence,55 to under 65 years,,robbery,,,,,90
2012,a) physical violence,55 to under 65 years,,robbery,,,,,105
2013,a) physical violence,55 to under 65 years,,robbery,,,,,84
2014,a) physical violence,55 to under 65 years,,robbery,,,,,99
2015,a) physical violence,55 to under 65 years,,robbery,,,,,83
2016,a) physical violence,55 to under 65 years,,robbery,,,,,87
2017,a) physical violence,55 to under 65 years,,robbery,,,,,105
2018,a) physical violence,55 to under 65 years,,robbery,,,,,106
2019,a) physical violence,55 to under 65 years,,robbery,,,,,95
2020,a) physical violence,55 to under 65 years,,robbery,,,,,107
2021,a) physical violence,55 to under 65 years,,robbery,,,,,79
2022,a) physical violence,55 to under 65 years,,robbery,,,,,73
2023,a) physical violence,55 to under 65 years,,robbery,,,,,88
2024,a) physical violence,55 to under 65 years,,robbery,,,,,101
2010,a) physical violence,65 to under 75 years,,robbery,,.,,,
2011,a) physical violence,65 to under 75 years,,robbery,,.,,,
2012,a) physical violence,65 to under 75 years,,robbery,,,,,133
2013,a) physical violence,65 to under 75 years,,robbery,,,,,175
2014,a) physical violence,65 to under 75 years,,robbery,,,,,197
2015,a) physical violence,65 to under 75 years,,robbery,,,,,163
2016,a) physical violence,65 to under 75 years,,robbery,,,,,181
2017,a) physical violence,65 to under 75 years,,robbery,,,,,189
2018,a) physical violence,65 to under 75 years,,robbery,,,,,155
2019,a) physical violence,65 to under 75 years,,robbery,,,,,156
2020,a) physical violence,65 to under 75 years,,robbery,,,,,177
2021,a) physical violence,65 to under 75 years,,robbery,,,,,135
2022,a) physical violence,65 to under 75 years,,robbery,,,,,158
2023,a) physical violence,65 to under 75 years,,robbery,,,,,183
2024,a) physical violence,65 to under 75 years,,robbery,,,,,164
2010,a) physical violence,75 years and older,,robbery,,.,,,
2011,a) physical violence,75 years and older,,robbery,,.,,,
2012,a) physical violence,75 years and older,,robbery,,,,,113
2013,a) physical violence,75 years and older,,robbery,,,,,146
2014,a) physical violence,75 years and older,,robbery,,,,,167
2015,a) physical violence,75 years and older,,robbery,,,,,139
2016,a) physical violence,75 years and older,,robbery,,,,,164
2017,a) physical violence,75 years and older,,robbery,,,,,153
2018,a) physical violence,75 years and older,,robbery,,,,,127
2019,a) physical violence,75 years and older,,robbery,,,,,123
2020,a) physical violence,75 years and older,,robbery,,,,,146
2021,a) physical violence,75 years and older,,robbery,,,,,121
2022,a) physical violence,75 years and older,,robbery,,,,,137
2023,a) physical violence,75 years and older,,robbery,,,,,159
2024,a) physical violence,75 years and older,,robbery,,,,,138
2010,a) physical violence,,female,robbery,,.,,,
2011,a) physical violence,,female,robbery,,.,,,
2012,a) physical violence,,female,robbery,,,,,20
2013,a) physical violence,,female,robbery,,,,,29
2014,a) physical violence,,female,robbery,,,,,30
2015,a) physical violence,,female,robbery,,,,,24
2016,a) physical violence,,female,robbery,,,,,17
2017,a) physical violence,,female,robbery,,,,,36
2018,a) physical violence,,female,robbery,,,,,28
2019,a) physical violence,,female,robbery,,,,,33
2020,a) physical violence,,female,robbery,,,,,31
2021,a) physical violence,,female,robbery,,,,,14
2022,a) physical violence,,female,robbery,,,,,21
2023,a) physical violence,,female,robbery,,,,,24
2024,a) physical violence,,female,robbery,,,,,26
2010,a) physical violence,,male,robbery,,.,,,
2011,a) physical violence,,male,robbery,,.,,,
2012,a) physical violence,,male,robbery,,,,,154
2013,a) physical violence,,male,robbery,,,,,133
2014,a) physical violence,,male,robbery,,,,,143
2015,a) physical violence,,male,robbery,,,,,130
2016,a) physical violence,,male,robbery,,,,,144
2017,a) physical violence,,male,robbery,,,,,147
2018,a) physical violence,,male,robbery,,,,,155
2019,a) physical violence,,male,robbery,,,,,126
2020,a) physical violence,,male,robbery,,,,,155
2021,a) physical violence,,male,robbery,,,,,151
2022,a) physical violence,,male,robbery,,,,,113
2023,a) physical violence,,male,robbery,,,,,158
2024,a) physical violence,,male,robbery,,,,,140
2010,b) psychological violence,,,,,.,,,
2011,b) psychological violence,,,,,.,,,
2012,b) psychological violence,,,,,,,,69
2013,b) psychological violence,,,,,,,,78
2014,b) psychological violence,,,,,,,,74
2015,b) psychological violence,,,,,,,,71
2016,b) psychological violence,,,,,,,,74
2017,b) psychological violence,,,,,,,,78
2018,b) psychological violence,,,,,,,,77
2019,b) psychological violence,,,,,,,,64
2020,b) psychological violence,,,,,,,,79
2021,b) psychological violence,,,,,,,,86
2022,b) psychological violence,,,,,,,,61
2023,b) psychological violence,,,,,,,,94
2024,b) psychological violence,,,,,,,,65
2010,b) psychological violence,16 to under 25 years,,,,.,,,
2011,b) psychological violence,16 to under 25 years,,,,.,,,
2012,b) psychological violence,16 to under 25 years,,,,,,,85
2013,b) psychological violence,16 to under 25 years,,,,,,,55
2014,b) psychological violence,16 to under 25 years,,,,,,,69
2015,b) psychological violence,16 to under 25 years,,,,,,,59
2016,b) psychological violence,16 to under 25 years,,,,,,,70
2017,b) psychological violence,16 to under 25 years,,,,,,,69
2018,b) psychological violence,16 to under 25 years,,,,,,,78
2019,b) psychological violence,16 to under 25 years,,,,,,,62
2020,b) psychological violence,16 to under 25 years,,,,,,,76
2021,b) psychological violence,16 to under 25 years,,,,,,,65
2022,b) psychological violence,16 to under 25 years,,,,,,,52
2023,b) psychological violence,16 to under 25 years,,,,,,,64
2024,b) psychological violence,16 to under 25 years,,,,,,,75
2010,b) psychological violence,25 to under 35 years,,,,,,,0.010
2011,b) psychological violence,25 to under 35 years,,,,,,,0.009
2012,b) psychological violence,25 to under 35 years,,,,‒,,,0.000
2013,b) psychological violence,25 to under 35 years,,,,,,,0.001
2014,b) psychological violence,25 to under 35 years,,,,‒,,,0.000
2015,b) psychological violence,25 to under 35 years,,,,‒,,,0.000
2016,b) psychological violence,25 to under 35 years,,,,‒,,,0.000
2017,b) psychological violence,25 to under 35 years,,,,‒,,,0.000
2018,b) psychological violence,25 to under 35 years,,,,‒,,,0.000
2019,b) psychological violence,25 to under 35 years,,,,‒,,,0.000
2020,b) psychological violence,25 to under 35 years,,,,‒,,,0.000
2021,b) psychological violence,25 to under 35 years,,,,‒,,,0.000
2022,b) psychological violence,25 to under 35 years,,,,‒,,,0.000
2023,b) psychological violence,25 to under 35 years,,,,‒,,,0.000
2024,b) psychological violence,25 to under 35 years,,,,‒,,,0.000
2010,b) psychological violence,35 to under 45 years,,,,.,,,
2011,b) psychological violence,35 to under 45 years,,,,.,,,
2012,b) psychological violence,35 to under 45 years,,,,r,,,
2013,b) psychological violence,35 to under 45 years,,,,.,,,
2014,b) psychological violence,35 to under 45 years,,,,.,,,
2015,b) psychological violence,35 to under 45 years,,,,.,,,
2016,b) psychological violence,35 to under 45 years,,,,.,,,
2017,b) psychological violence,35 to under 45 years,,,,r,,,
2018,b) psychological violence,35 to under 45 years,,,,.,,,
2019,b) psychological violence,35 to under 45 years,,,,.,,,
2020,b) psychological violence,35 to under 45 years,,,,|,r,,2.3
2021,b) psychological violence,35 to under 45 years,,,,…,,,
2022,b) psychological violence,35 to under 45 years,,,,…,,,
2023,b) psychological violence,35 to under 45 years,,,,…,,,
2024,b) psychological violence,35 to under 45 years,,,,…,,,
2010,b) psychological violence,45 to under 55 years,,,,.,,,
