Year,Units,mode of transport,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2022,million passenger-kilometre,rail transport,,,,passenger transport,1338977
2023,million passenger-kilometre,rail transport,,,,passenger transport,1363796
2022,million passenger-kilometre,air transport,,,,passenger transport,25202
2023,million passenger-kilometre,air transport,,,,passenger transport,25719
2010,million passenger-kilometre,motorised private transport,…,,,passenger transport,
2011,million passenger-kilometre,motorised private transport,…,,,passenger transport,
2012,million passenger-kilometre,motorised private transport,…,,,passenger transport,
2013,million passenger-kilometre,motorised private transport,…,,,passenger transport,
2014,million passenger-kilometre,motorised private transport,…,,,passenger transport,
2015,million passenger-kilometre,motorised private transport,…,,,passenger transport,
2016,million passenger-kilometre,motorised private transport,…,,,passenger transport,
2017,million passenger-kilometre,motorised private transport,…,,,passenger transport,
2018,million passenger-kilometre,motorised private transport,…,,,passenger transport,
2019,million passenger-kilometre,motorised private transport,…,,,passenger transport,
2020,million passenger-kilometre,motorised private transport,,,,passenger transport,141037
2021,million passenger-kilometre,motorised private transport,,,,passenger transport,164689
2022,million passenger-kilometre,motorised private transport,,,,passenger transport,171881
2023,million passenger-kilometre,motorised private transport,,,,passenger transport,182026
2010,million tonne-kilometres,,…,,,freight transport,
2011,million tonne-kilometres,,…,,,freight transport,
2012,million tonne-kilometres,,…,,,freight transport,
2013,million tonne-kilometres,,…,,,freight transport,
2014,million tonne-kilometres,,…,,,freight transport,
2015,million tonne-kilometres,,…,,,freight transport,
2016,million tonne-kilometres,,…,,,freight transport,
2017,million tonne-kilometres,,…,,,freight transport,
2018,million tonne-kilometres,,…,,,freight transport,
2019,million tonne-kilometres,,…,,,freight transport,
2020,million tonne-kilometres,,,,,freight transport,8137
2021,million tonne-kilometres,,,,,freight transport,8254
2022,million tonne-kilometres,,,,,freight transport,8710
2023,million tonne-kilometres,,,,,freight transport,8480
2010,million tonne-kilometres,road transport,…,,,freight transport,
2011,million tonne-kilometres,road transport,…,,,freight transport,
2012,million tonne-kilometres,road transport,…,,,freight transport,
2013,million tonne-kilometres,road transport,…,,,freight transport,
2014,million tonne-kilometres,road transport,…,,,freight transport,
2015,million tonne-kilometres,road transport,…,,,freight transport,
2016,million tonne-kilometres,road transport,…,,,freight transport,
2017,million tonne-kilometres,road transport,…,,,freight transport,
2018,million tonne-kilometres,road transport,…,,,freight transport,
2019,million tonne-kilometres,road transport,…,,,freight transport,
2020,million tonne-kilometres,road transport,,,,freight transport,57763
2021,million tonne-kilometres,road transport,,,,freight transport,53976
2022,million tonne-kilometres,road transport,,,,freight transport,52214
2023,million tonne-kilometres,road transport,,,,freight transport,56268
2010,million tonne-kilometres,rail transport,…,,,freight transport,
2011,million tonne-kilometres,rail transport,…,,,freight transport,
2012,million tonne-kilometres,rail transport,…,,,freight transport,
2013,million tonne-kilometres,rail transport,…,,,freight transport,
2014,million tonne-kilometres,rail transport,…,,,freight transport,
2015,million tonne-kilometres,rail transport,…,,,freight transport,
2016,million tonne-kilometres,rail transport,…,,,freight transport,
2017,million tonne-kilometres,rail transport,…,,,freight transport,
2018,million tonne-kilometres,rail transport,…,,,freight transport,
2019,million tonne-kilometres,rail transport,…,,,freight transport,
2020,million tonne-kilometres,rail transport,,,,freight transport,30207
2021,million tonne-kilometres,rail transport,,,,freight transport,35394
2022,million tonne-kilometres,rail transport,,,,freight transport,40890
2023,million tonne-kilometres,rail transport,,,,freight transport,38225
2010,million tonne-kilometres,inland waterway transport,…,,,freight transport,
2011,million tonne-kilometres,inland waterway transport,…,,,freight transport,
2012,million tonne-kilometres,inland waterway transport,…,,,freight transport,
2013,million tonne-kilometres,inland waterway transport,…,,,freight transport,
2014,million tonne-kilometres,inland waterway transport,…,,,freight transport,
2015,million tonne-kilometres,inland waterway transport,…,,,freight transport,
2016,million tonne-kilometres,inland waterway transport,…,,,freight transport,
2017,million tonne-kilometres,inland waterway transport,…,,,freight transport,
2018,million tonne-kilometres,inland waterway transport,…,,,freight transport,
2019,million tonne-kilometres,inland waterway transport,…,,,freight transport,
2020,million tonne-kilometres,inland waterway transport,,,,freight transport,71757
2021,million tonne-kilometres,inland waterway transport,,,,freight transport,69620
2022,million tonne-kilometres,inland waterway transport,,,,freight transport,78682
2023,million tonne-kilometres,inland waterway transport,,,,freight transport,74969
2021,million tonne-kilometres,air transport,,,,freight transport,48031
2022,million tonne-kilometres,air transport,,,,freight transport,53906
2023,million tonne-kilometres,air transport,,,,freight transport,56266
2021,million tonne-kilometres,pipelines: crude oil,,,,freight transport,275068
2022,million tonne-kilometres,pipelines: crude oil,,,,freight transport,286360
2023,million tonne-kilometres,pipelines: crude oil,,,,freight transport,276102
