Year,Units,Funding sector,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,"Million USD, constant prices (2024)",Forestry sector,Commitments,,,,199.463
2010,"Million USD, constant prices (2024)",Biodiversity,Gross disbursements,,,,488.8
2011,"Million USD, constant prices (2024)",Biodiversity,Gross disbursements,,,,667.8
2012,"Million USD, constant prices (2024)",Biodiversity,Gross disbursements,,,,898.8
2013,"Million USD, constant prices (2024)",Biodiversity,Gross disbursements,,,,902.9
2014,"Million USD, constant prices (2024)",Biodiversity,Gross disbursements,,,,1009.7
2015,"Million USD, constant prices (2024)",Biodiversity,Gross disbursements,,,,970.9
2016,"Million USD, constant prices (2024)",Biodiversity,Gross disbursements,,,,1304.6
2017,"Million USD, constant prices (2024)",Biodiversity,Gross disbursements,,,,1817.1
2018,"Million USD, constant prices (2024)",Biodiversity,Gross disbursements,,,,1642.0
2019,"Million USD, constant prices (2024)",Biodiversity,Gross disbursements,,,,1918.4
2020,"Million USD, constant prices (2024)",Biodiversity,Gross disbursements,,,,2324.6
2021,"Million USD, constant prices (2024)",Biodiversity,Gross disbursements,,,,2668.6
2022,"Million USD, constant prices (2024)",Biodiversity,Gross disbursements,,,,3391.2
2023,"Million USD, constant prices (2024)",Biodiversity,Gross disbursements,,,,
2024,"Million USD, constant prices (2024)",Biodiversity,Gross disbursements,,,,
2010,"Million USD, constant prices (2024)",Forestry sector,Gross disbursements,,,,74.5
2011,"Million USD, constant prices (2024)",Forestry sector,Gross disbursements,,,,69.7
2012,"Million USD, constant prices (2024)",Forestry sector,Gross disbursements,,,,115.1
2013,"Million USD, constant prices (2024)",Forestry sector,Gross disbursements,,,,105.3
2014,"Million USD, constant prices (2024)",Forestry sector,Gross disbursements,,,,88.2
2015,"Million USD, constant prices (2024)",Forestry sector,Gross disbursements,,,,88.3
2016,"Million USD, constant prices (2024)",Forestry sector,Gross disbursements,,,,83.8
2017,"Million USD, constant prices (2024)",Forestry sector,Gross disbursements,,,,94.8
2018,"Million USD, constant prices (2024)",Forestry sector,Gross disbursements,,,,141.6
2019,"Million USD, constant prices (2024)",Forestry sector,Gross disbursements,,,,142.5
2020,"Million USD, constant prices (2024)",Forestry sector,Gross disbursements,,,,254.1
2021,"Million USD, constant prices (2024)",Forestry sector,Gross disbursements,,,,305.5
2022,"Million USD, constant prices (2024)",Forestry sector,Gross disbursements,,,,283.9
2023,"Million USD, constant prices (2024)",Forestry sector,Gross disbursements,,,,280.0
2024,"Million USD, constant prices (2024)",Forestry sector,Gross disbursements,,,,227.6
