Year,Units,type of receiver/provider,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2019,cumulative number,commercial company,,,,smta received by germany,30
2020,cumulative number,commercial company,,,,smta received by germany,38
2021,cumulative number,commercial company,,,,smta received by germany,38
2022,cumulative number,commercial company,,,,smta received by germany,38
2023,cumulative number,commercial company,,,,smta received by germany,38
2024,cumulative number,commercial company,,,,smta received by germany,41
2025,cumulative number,commercial company,,,,smta received by germany,44
2026,cumulative number,commercial company,p,,,smta received by germany,44
2010,cumulative number,gene bank,‒,,,smta received by germany,0
2011,cumulative number,gene bank,‒,,,smta received by germany,0
2012,cumulative number,gene bank,‒,,,smta received by germany,0
2013,cumulative number,gene bank,‒,,,smta received by germany,0
2014,cumulative number,gene bank,‒,,,smta received by germany,0
2015,cumulative number,gene bank,‒,,,smta received by germany,0
2016,cumulative number,gene bank,‒,,,smta received by germany,0
2017,cumulative number,gene bank,‒,,,smta received by germany,0
2018,cumulative number,gene bank,‒,,,smta received by germany,0
2019,cumulative number,gene bank,,,,smta received by germany,1
2020,cumulative number,gene bank,,,,smta received by germany,3
2021,cumulative number,gene bank,,,,smta received by germany,4
2022,cumulative number,gene bank,,,,smta received by germany,4
2023,cumulative number,gene bank,,,,smta received by germany,5
2024,cumulative number,gene bank,,,,smta received by germany,7
2025,cumulative number,gene bank,,,,smta received by germany,10
2026,cumulative number,gene bank,p,,,smta received by germany,10
2010,cumulative number,national agricultural research centre,‒,,,smta received by germany,0
2011,cumulative number,national agricultural research centre,‒,,,smta received by germany,0
2012,cumulative number,national agricultural research centre,‒,,,smta received by germany,0
2013,cumulative number,national agricultural research centre,‒,,,smta received by germany,0
2014,cumulative number,national agricultural research centre,,,,smta received by germany,1
2015,cumulative number,national agricultural research centre,,,,smta received by germany,1
2016,cumulative number,national agricultural research centre,,,,smta received by germany,1
2017,cumulative number,national agricultural research centre,,,,smta received by germany,1
2018,cumulative number,national agricultural research centre,,,,smta received by germany,1
2019,cumulative number,national agricultural research centre,,,,smta received by germany,1
2020,cumulative number,national agricultural research centre,,,,smta received by germany,2
2021,cumulative number,national agricultural research centre,,,,smta received by germany,2
2022,cumulative number,national agricultural research centre,,,,smta received by germany,2
2023,cumulative number,national agricultural research centre,,,,smta received by germany,4
2024,cumulative number,national agricultural research centre,,,,smta received by germany,4
2025,cumulative number,national agricultural research centre,,,,smta received by germany,5
2026,cumulative number,national agricultural research centre,p,,,smta received by germany,5
2010,cumulative number,non-governmental organization,‒,,,smta received by germany,0
2011,cumulative number,non-governmental organization,‒,,,smta received by germany,0
2012,cumulative number,non-governmental organization,‒,,,smta received by germany,0
2013,cumulative number,non-governmental organization,‒,,,smta received by germany,0
2014,cumulative number,non-governmental organization,‒,,,smta received by germany,0
2015,cumulative number,non-governmental organization,‒,,,smta received by germany,0
2016,cumulative number,non-governmental organization,‒,,,smta received by germany,0
2017,cumulative number,non-governmental organization,‒,,,smta received by germany,0
2018,cumulative number,non-governmental organization,‒,,,smta received by germany,0
2019,cumulative number,non-governmental organization,‒,,,smta received by germany,0
2020,cumulative number,non-governmental organization,,,,smta received by germany,1
2021,cumulative number,non-governmental organization,,,,smta received by germany,1
2022,cumulative number,non-governmental organization,,,,smta received by germany,1
2023,cumulative number,non-governmental organization,,,,smta received by germany,1
2024,cumulative number,non-governmental organization,,,,smta received by germany,1
2025,cumulative number,non-governmental organization,,,,smta received by germany,6
2026,cumulative number,non-governmental organization,p,,,smta received by germany,6
2010,cumulative number,other,‒,,,smta received by germany,0
2011,cumulative number,other,‒,,,smta received by germany,0
2012,cumulative number,other,‒,,,smta received by germany,0
2013,cumulative number,other,‒,,,smta received by germany,0
2014,cumulative number,other,‒,,,smta received by germany,0
2015,cumulative number,other,‒,,,smta received by germany,0
2016,cumulative number,other,,,,smta received by germany,2
2017,cumulative number,other,,,,smta received by germany,3
2018,cumulative number,other,,,,smta received by germany,3
2019,cumulative number,other,,,,smta received by germany,3
2020,cumulative number,other,,,,smta received by germany,4
2021,cumulative number,other,,,,smta received by germany,4
2022,cumulative number,other,,,,smta received by germany,4
2023,cumulative number,other,,,,smta received by germany,4
2024,cumulative number,other,,,,smta received by germany,5
2025,cumulative number,other,,,,smta received by germany,5
2026,cumulative number,other,p,,,smta received by germany,5
2010,cumulative number,university,‒,,,smta received by germany,0
2011,cumulative number,university,‒,,,smta received by germany,0
2012,cumulative number,university,‒,,,smta received by germany,0
2013,cumulative number,university,‒,,,smta received by germany,0
2014,cumulative number,university,,,,smta received by germany,1
2015,cumulative number,university,,,,smta received by germany,3
2016,cumulative number,university,,,,smta received by germany,5
2017,cumulative number,university,,,,smta received by germany,8
2018,cumulative number,university,,,,smta received by germany,8
2019,cumulative number,university,,,,smta received by germany,8
2020,cumulative number,university,,,,smta received by germany,8
2021,cumulative number,university,,,,smta received by germany,9
2022,cumulative number,university,,,,smta received by germany,9
2023,cumulative number,university,,,,smta received by germany,11
2024,cumulative number,university,,,,smta received by germany,13
2025,cumulative number,university,,,,smta received by germany,13
2026,cumulative number,university,p,,,smta received by germany,13
2010,cumulative number,individual,,,,smta received by germany,84
2011,cumulative number,individual,,,,smta received by germany,382
2012,cumulative number,individual,,,,smta received by germany,1299
2013,cumulative number,individual,,,,smta received by germany,2107
2014,cumulative number,individual,,,,smta received by germany,2843
2015,cumulative number,individual,,,,smta received by germany,3604
2016,cumulative number,individual,,,,smta received by germany,4214
2017,cumulative number,individual,,,,smta received by germany,4328
2018,cumulative number,individual,,,,smta received by germany,4441
2019,cumulative number,individual,,,,smta received by germany,4575
2020,cumulative number,individual,,,,smta received by germany,4678
2021,cumulative number,individual,,,,smta received by germany,4800
2022,cumulative number,individual,,,,smta received by germany,4877
2023,cumulative number,individual,,,,smta received by germany,4918
2024,cumulative number,individual,,,,smta received by germany,4932
2025,cumulative number,individual,,,,smta received by germany,4935
2026,cumulative number,individual,p,,,smta received by germany,4935
2010,cumulative number,increase project,‒,,,smta received by germany,0
2011,cumulative number,increase project,‒,,,smta received by germany,0
2012,cumulative number,increase project,‒,,,smta received by germany,0
2013,cumulative number,increase project,‒,,,smta received by germany,0
2014,cumulative number,increase project,‒,,,smta received by germany,0
2015,cumulative number,increase project,‒,,,smta received by germany,0
2016,cumulative number,increase project,‒,,,smta received by germany,0
2017,cumulative number,increase project,‒,,,smta received by germany,0
2018,cumulative number,increase project,‒,,,smta received by germany,0
2019,cumulative number,increase project,‒,,,smta received by germany,0
2020,cumulative number,increase project,‒,,,smta received by germany,0
2021,cumulative number,increase project,,,,smta received by germany,226
2022,cumulative number,increase project,,,,smta received by germany,706
2023,cumulative number,increase project,,,,smta received by germany,2396
2024,cumulative number,increase project,,,,smta received by germany,4291
2025,cumulative number,increase project,,,,smta received by germany,5655
2026,cumulative number,increase project,p,,,smta received by germany,5758
2010,cumulative number,unknown,,,,smta received by germany,1411
2011,cumulative number,unknown,,,,smta received by germany,2305
2012,cumulative number,unknown,,,,smta received by germany,2617
2013,cumulative number,unknown,,,,smta received by germany,2927
2014,cumulative number,unknown,,,,smta received by germany,3244
2015,cumulative number,unknown,,,,smta received by germany,3703
2016,cumulative number,unknown,,,,smta received by germany,4140
2017,cumulative number,unknown,,,,smta received by germany,4408
2018,cumulative number,unknown,,,,smta received by germany,4681
2019,cumulative number,unknown,,,,smta received by germany,4900
2020,cumulative number,unknown,,,,smta received by germany,5169
2021,cumulative number,unknown,,,,smta received by germany,5480
2022,cumulative number,unknown,,,,smta received by germany,5757
2023,cumulative number,unknown,,,,smta received by germany,5884
2024,cumulative number,unknown,,,,smta received by germany,5901
2025,cumulative number,unknown,,,,smta received by germany,5901
2026,cumulative number,unknown,p,,,smta received by germany,5901
2010,cumulative number,,,,,smta sent by germany,2132
2011,cumulative number,,,,,smta sent by germany,3566
2012,cumulative number,,,,,smta sent by germany,5022
2013,cumulative number,,,,,smta sent by germany,6314
2014,cumulative number,,,,,smta sent by germany,7675
2015,cumulative number,,,,,smta sent by germany,9241
2016,cumulative number,,,,,smta sent by germany,10567
2017,cumulative number,,,,,smta sent by germany,11135
2018,cumulative number,,,,,smta sent by germany,11709
2019,cumulative number,,,,,smta sent by germany,12296
2020,cumulative number,,,,,smta sent by germany,12812
2021,cumulative number,,,,,smta sent by germany,13415
2022,cumulative number,,,,,smta sent by germany,13908
2023,cumulative number,,,,,smta sent by germany,14176
2024,cumulative number,,,,,smta sent by germany,14332
2025,cumulative number,,,,,smta sent by germany,14490
2026,cumulative number,,p,,,smta sent by germany,14610
2010,cumulative number,commercial company,‒,,,smta sent by germany,0
2011,cumulative number,commercial company,‒,,,smta sent by germany,0
2012,cumulative number,commercial company,‒,,,smta sent by germany,0
2013,cumulative number,commercial company,‒,,,smta sent by germany,0
2014,cumulative number,commercial company,‒,,,smta sent by germany,0
2015,cumulative number,commercial company,‒,,,smta sent by germany,0
2016,cumulative number,commercial company,‒,,,smta sent by germany,0
2017,cumulative number,commercial company,‒,,,smta sent by germany,0
2018,cumulative number,commercial company,‒,,,smta sent by germany,0
2019,cumulative number,commercial company,‒,,,smta sent by germany,0
2020,cumulative number,commercial company,‒,,,smta sent by germany,0
2021,cumulative number,commercial company,‒,,,smta sent by germany,0
2022,cumulative number,commercial company,‒,,,smta sent by germany,0
2023,cumulative number,commercial company,‒,,,smta sent by germany,0
2024,cumulative number,commercial company,‒,,,smta sent by germany,0
2025,cumulative number,commercial company,,,,smta sent by germany,1
2026,cumulative number,commercial company,p,,,smta sent by germany,4
2010,cumulative number,gene bank,,,,smta sent by germany,2132
2011,cumulative number,gene bank,,,,smta sent by germany,3566
2012,cumulative number,gene bank,,,,smta sent by germany,5022
2013,cumulative number,gene bank,,,,smta sent by germany,6314
2014,cumulative number,gene bank,,,,smta sent by germany,7675
2015,cumulative number,gene bank,,,,smta sent by germany,9241
2016,cumulative number,gene bank,,,,smta sent by germany,10560
2017,cumulative number,gene bank,,,,smta sent by germany,11126
2018,cumulative number,gene bank,,,,smta sent by germany,11685
2019,cumulative number,gene bank,,,,smta sent by germany,12256
2020,cumulative number,gene bank,,,,smta sent by germany,12761
2021,cumulative number,gene bank,,,,smta sent by germany,13364
2022,cumulative number,gene bank,,,,smta sent by germany,13850
2023,cumulative number,gene bank,,,,smta sent by germany,14100
2024,cumulative number,gene bank,,,,smta sent by germany,14100
2025,cumulative number,gene bank,,,,smta sent by germany,14100
2026,cumulative number,gene bank,p,,,smta sent by germany,14100
2010,cumulative number,national agricultural research centre,‒,,,smta sent by germany,0
2011,cumulative number,national agricultural research centre,‒,,,smta sent by germany,0
2012,cumulative number,national agricultural research centre,‒,,,smta sent by germany,0
2013,cumulative number,national agricultural research centre,‒,,,smta sent by germany,0
2014,cumulative number,national agricultural research centre,‒,,,smta sent by germany,0
2015,cumulative number,national agricultural research centre,‒,,,smta sent by germany,0
2016,cumulative number,national agricultural research centre,,,,smta sent by germany,3
2017,cumulative number,national agricultural research centre,,,,smta sent by germany,3
2018,cumulative number,national agricultural research centre,,,,smta sent by germany,18
2019,cumulative number,national agricultural research centre,,,,smta sent by germany,34
2020,cumulative number,national agricultural research centre,,,,smta sent by germany,44
2021,cumulative number,national agricultural research centre,,,,smta sent by germany,44
2022,cumulative number,national agricultural research centre,,,,smta sent by germany,44
2023,cumulative number,national agricultural research centre,,,,smta sent by germany,44
2024,cumulative number,national agricultural research centre,,,,smta sent by germany,44
2025,cumulative number,national agricultural research centre,,,,smta sent by germany,44
2026,cumulative number,national agricultural research centre,p,,,smta sent by germany,44
2010,cumulative number,other,‒,,,smta sent by germany,0
2011,cumulative number,other,‒,,,smta sent by germany,0
2012,cumulative number,other,‒,,,smta sent by germany,0
2013,cumulative number,other,‒,,,smta sent by germany,0
2014,cumulative number,other,‒,,,smta sent by germany,0
2015,cumulative number,other,‒,,,smta sent by germany,0
2016,cumulative number,other,,,,smta sent by germany,4
2017,cumulative number,other,,,,smta sent by germany,6
2018,cumulative number,other,,,,smta sent by germany,6
2019,cumulative number,other,,,,smta sent by germany,6
2020,cumulative number,other,,,,smta sent by germany,6
2021,cumulative number,other,,,,smta sent by germany,6
2022,cumulative number,other,,,,smta sent by germany,6
2023,cumulative number,other,,,,smta sent by germany,6
2024,cumulative number,other,,,,smta sent by germany,6
2025,cumulative number,other,,,,smta sent by germany,6
2026,cumulative number,other,p,,,smta sent by germany,6
2010,cumulative number,regional organization,‒,,,smta sent by germany,0
2011,cumulative number,regional organization,‒,,,smta sent by germany,0
2012,cumulative number,regional organization,‒,,,smta sent by germany,0
2013,cumulative number,regional organization,‒,,,smta sent by germany,0
2014,cumulative number,regional organization,‒,,,smta sent by germany,0
2015,cumulative number,regional organization,‒,,,smta sent by germany,0
2016,cumulative number,regional organization,‒,,,smta sent by germany,0
2017,cumulative number,regional organization,‒,,,smta sent by germany,0
2018,cumulative number,regional organization,‒,,,smta sent by germany,0
2019,cumulative number,regional organization,‒,,,smta sent by germany,0
2020,cumulative number,regional organization,,,,smta sent by germany,1
2021,cumulative number,regional organization,,,,smta sent by germany,1
2022,cumulative number,regional organization,,,,smta sent by germany,1
2023,cumulative number,regional organization,,,,smta sent by germany,1
2024,cumulative number,regional organization,,,,smta sent by germany,1
2025,cumulative number,regional organization,,,,smta sent by germany,1
2026,cumulative number,regional organization,p,,,smta sent by germany,1
