Year,Completeness of disaggregation,goal,COMMENT_OBS,Value
2023,Fully disaggregated,10 - reduced inequalities,.,
2024,Fully disaggregated,10 - reduced inequalities,,33.0
2025,Fully disaggregated,10 - reduced inequalities,,
2023,Partially disaggregated,10 - reduced inequalities,.,
2024,Partially disaggregated,10 - reduced inequalities,,67.0
2025,Partially disaggregated,10 - reduced inequalities,,
2023,Not disaggregated,10 - reduced inequalities,.,
2024,Not disaggregated,10 - reduced inequalities,0,0.0
2025,Not disaggregated,10 - reduced inequalities,,
2023,Fully disaggregated,11 - sustainable cities and communities,.,
2024,Fully disaggregated,11 - sustainable cities and communities,0,0.0
2025,Fully disaggregated,11 - sustainable cities and communities,,
2023,Partially disaggregated,11 - sustainable cities and communities,.,
2024,Partially disaggregated,11 - sustainable cities and communities,,40.0
2025,Partially disaggregated,11 - sustainable cities and communities,,
2023,Not disaggregated,11 - sustainable cities and communities,.,
2024,Not disaggregated,11 - sustainable cities and communities,,60.0
2025,Not disaggregated,11 - sustainable cities and communities,,
2023,Fully disaggregated,12 - responsible consumption and production,.,
2024,Fully disaggregated,12 - responsible consumption and production,,100.0
2025,Fully disaggregated,12 - responsible consumption and production,,
2023,Partially disaggregated,12 - responsible consumption and production,.,
2024,Partially disaggregated,12 - responsible consumption and production,0,0.0
2025,Partially disaggregated,12 - responsible consumption and production,,
2023,Not disaggregated,12 - responsible consumption and production,.,
2024,Not disaggregated,12 - responsible consumption and production,0,0.0
2025,Not disaggregated,12 - responsible consumption and production,,
2023,Fully disaggregated,15 - life on land,.,
2024,Fully disaggregated,15 - life on land,0,0.0
2025,Fully disaggregated,15 - life on land,,
2023,Partially disaggregated,15 - life on land,.,
2024,Partially disaggregated,15 - life on land,0,0.0
2025,Partially disaggregated,15 - life on land,,
2023,Not disaggregated,15 - life on land,.,
2024,Not disaggregated,15 - life on land,,100.0
2025,Not disaggregated,15 - life on land,,
2023,Fully disaggregated,16 - peace and justice,.,
2024,Fully disaggregated,16 - peace and justice,,25.0
2025,Fully disaggregated,16 - peace and justice,,
2023,Partially disaggregated,16 - peace and justice,.,
2024,Partially disaggregated,16 - peace and justice,,25.0
2025,Partially disaggregated,16 - peace and justice,,
2023,Not disaggregated,16 - peace and justice,.,
2024,Not disaggregated,16 - peace and justice,,50.0
2025,Not disaggregated,16 - peace and justice,,
2023,Fully disaggregated,17 - partnerships for the goals,.,
2024,Fully disaggregated,17 - partnerships for the goals,,50.0
2025,Fully disaggregated,17 - partnerships for the goals,,
2023,Partially disaggregated,17 - partnerships for the goals,.,
2024,Partially disaggregated,17 - partnerships for the goals,0,0.0
2025,Partially disaggregated,17 - partnerships for the goals,,
2023,Not disaggregated,17 - partnerships for the goals,.,
2024,Not disaggregated,17 - partnerships for the goals,,50.0
2025,Not disaggregated,17 - partnerships for the goals,,
