Year,Geschlecht,Altersklasse,Unsicherheitsgefühl,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2019,Männlich,,Sehr sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,Männlich,,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),3.7
2021,Männlich,,Sehr sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,Männlich,,Eher sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,Männlich,,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),2.6
2021,Männlich,,Eher sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,Männlich,,Eher unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,Männlich,,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),2.7
2021,Männlich,,Eher unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,Männlich,,Sehr unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,Männlich,,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),6.0
2021,Männlich,,Sehr unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,16 bis unter 25 Jahre,Sehr sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,16 bis unter 25 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),7.6
2021,,16 bis unter 25 Jahre,Sehr sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,16 bis unter 25 Jahre,Eher sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,16 bis unter 25 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),2.1
2021,,16 bis unter 25 Jahre,Eher sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,16 bis unter 25 Jahre,Eher unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,16 bis unter 25 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),8.7
2021,,16 bis unter 25 Jahre,Eher unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,16 bis unter 25 Jahre,Sehr unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,16 bis unter 25 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),3.9
2021,,16 bis unter 25 Jahre,Sehr unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,25 bis unter 35 Jahre,Sehr sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,25 bis unter 35 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),1.6
2021,,25 bis unter 35 Jahre,Sehr sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,25 bis unter 35 Jahre,Eher sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,25 bis unter 35 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),0.4
2021,,25 bis unter 35 Jahre,Eher sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,25 bis unter 35 Jahre,Eher unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,25 bis unter 35 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),0.3
2021,,25 bis unter 35 Jahre,Eher unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,35 bis unter 45 Jahre,Eher sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,35 bis unter 45 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),3.6
2021,,35 bis unter 45 Jahre,Eher sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,35 bis unter 45 Jahre,Eher unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,35 bis unter 45 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),0.3
2021,,35 bis unter 45 Jahre,Eher unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,35 bis unter 45 Jahre,Sehr unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,35 bis unter 45 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),2.1
2021,,35 bis unter 45 Jahre,Sehr unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,45 bis unter 55 Jahre,Sehr sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,45 bis unter 55 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),8.7
2021,,45 bis unter 55 Jahre,Sehr sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,45 bis unter 55 Jahre,Eher sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,45 bis unter 55 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),3.9
2021,,45 bis unter 55 Jahre,Eher sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,45 bis unter 55 Jahre,Eher unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,45 bis unter 55 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),1.6
2021,,45 bis unter 55 Jahre,Eher unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,45 bis unter 55 Jahre,Sehr unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,45 bis unter 55 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),0.4
2021,,45 bis unter 55 Jahre,Sehr unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,55 bis unter 65 Jahre,Sehr sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,55 bis unter 65 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),0.3
2021,,55 bis unter 65 Jahre,Sehr sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,55 bis unter 65 Jahre,Sehr unsicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,55 bis unter 65 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),3.6
2021,,55 bis unter 65 Jahre,Sehr unsicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2019,,65 bis unter 75 Jahre,Sehr sicher,.,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2020,,65 bis unter 75 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),0.3
2021,,65 bis unter 75 Jahre,Sehr sicher,…,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),
2012,,65 bis unter 75 Jahre,Eher sicher,r,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),41.6
2017,,65 bis unter 75 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),36.7
2020,,65 bis unter 75 Jahre,Eher sicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),25.8
2012,,65 bis unter 75 Jahre,Eher unsicher,r,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),41.3
2017,,65 bis unter 75 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),41.9
2020,,65 bis unter 75 Jahre,Eher unsicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),46.3
2012,,65 bis unter 75 Jahre,Sehr unsicher,r,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),12.4
2017,,65 bis unter 75 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),15.2
2020,,65 bis unter 75 Jahre,Sehr unsicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),22.2
2012,,75 Jahre und älter,Sehr sicher,r,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),4.7
2017,,75 Jahre und älter,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),6.3
2020,,75 Jahre und älter,Sehr sicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),5.7
2012,,75 Jahre und älter,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),54.7
2017,,75 Jahre und älter,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),24.4
2020,,75 Jahre und älter,Eher sicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),15.8
2012,,75 Jahre und älter,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),37.3
2017,,75 Jahre und älter,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),43.7
2020,,75 Jahre und älter,Eher unsicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),45.5
2012,,75 Jahre und älter,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),6.1
2017,,75 Jahre und älter,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),22.0
2020,,75 Jahre und älter,Sehr unsicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),30.1
2012,,,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),1.9
2017,,,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),9.9
2020,,,Sehr sicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),8.6
2012,,,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),29.0
2017,,,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),49.4
2020,,,Eher sicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),36.2
2012,,,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),45.1
2017,,,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),40.0
2020,,,Eher unsicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),47.1
2012,,,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),18.4
2017,,,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),8.1
2020,,,Sehr unsicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),14.0
2012,Weiblich,,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),7.4
2017,Weiblich,,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),2.6
2020,Weiblich,,Sehr sicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),2.7
2012,Weiblich,,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),40.3
2017,Weiblich,,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),38.8
2020,Weiblich,,Eher sicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),32.5
2012,Weiblich,,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),39.2
2017,Weiblich,,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),40.7
2020,Weiblich,,Eher unsicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),38.2
2012,Weiblich,,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),15.1
2017,Weiblich,,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),15.0
2020,Weiblich,,Sehr unsicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),20.9
2012,Männlich,,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),5.4
2017,Männlich,,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),5.5
2020,Männlich,,Sehr sicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),8.3
2012,Männlich,,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),43.6
2017,Männlich,,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),39.2
2020,Männlich,,Eher sicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),32.3
2012,Männlich,,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),43.2
2017,Männlich,,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),42.9
2020,Männlich,,Eher unsicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),43.0
2012,Männlich,,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),9.4
2017,Männlich,,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),12.9
2020,Männlich,,Sehr unsicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),19.2
2012,,16 bis unter 25 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),3.8
2017,,16 bis unter 25 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),5.0
2020,,16 bis unter 25 Jahre,Sehr sicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),5.4
2012,,16 bis unter 25 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),46.7
2017,,16 bis unter 25 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),40.1
2020,,16 bis unter 25 Jahre,Eher sicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),31.3
2012,,16 bis unter 25 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),41.7
2017,,16 bis unter 25 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),41.4
2020,,16 bis unter 25 Jahre,Eher unsicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),45.5
2012,,16 bis unter 25 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),8.6
2017,,16 bis unter 25 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),13.3
2020,,16 bis unter 25 Jahre,Sehr unsicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),18.9
2012,,25 bis unter 35 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),3.1
2017,,25 bis unter 35 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),5.2
2020,,25 bis unter 35 Jahre,Sehr sicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),4.3
2012,,25 bis unter 35 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),45.6
2017,,25 bis unter 35 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),39.9
2020,,25 bis unter 35 Jahre,Eher sicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),28.3
2012,,25 bis unter 35 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),43.1
2017,,25 bis unter 35 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),42.6
2020,,25 bis unter 35 Jahre,Eher unsicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),46.9
2012,,25 bis unter 35 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),8.4
2017,,25 bis unter 35 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),12.0
2020,,25 bis unter 35 Jahre,Sehr unsicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),20.0
2012,,35 bis unter 45 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),2.9
2017,,35 bis unter 45 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),5.5
2020,,35 bis unter 45 Jahre,Sehr sicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),4.8
2012,,35 bis unter 45 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),41.7
2017,,35 bis unter 45 Jahre,Eher sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),37.6
2020,,35 bis unter 45 Jahre,Eher sicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),24.1
2012,,35 bis unter 45 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),43.2
2017,,35 bis unter 45 Jahre,Eher unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),42.9
2020,,35 bis unter 45 Jahre,Eher unsicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),50.3
2012,,35 bis unter 45 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),11.1
2017,,35 bis unter 45 Jahre,Sehr unsicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),13.9
2020,,35 bis unter 45 Jahre,Sehr unsicher,|,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),20.8
2012,,45 bis unter 55 Jahre,Sehr sicher,,,,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),4.1
