Year,Value,Units,Series
2012,1.0,"yes=1, no=0","4) Existence of legislative, administrative and policy framework or measures reported to the ABS Clearing-House"
2013,1.0,"yes=1, no=0","4) Existence of legislative, administrative and policy framework or measures reported to the ABS Clearing-House"
2014,1.0,"yes=1, no=0","4) Existence of legislative, administrative and policy framework or measures reported to the ABS Clearing-House"
2015,1.0,"yes=1, no=0","4) Existence of legislative, administrative and policy framework or measures reported to the ABS Clearing-House"
2016,1.0,"yes=1, no=0","4) Existence of legislative, administrative and policy framework or measures reported to the ABS Clearing-House"
2017,1.0,"yes=1, no=0","4) Existence of legislative, administrative and policy framework or measures reported to the ABS Clearing-House"
2018,1.0,"yes=1, no=0","4) Existence of legislative, administrative and policy framework or measures reported to the ABS Clearing-House"
2019,1.0,"yes=1, no=0","4) Existence of legislative, administrative and policy framework or measures reported to the ABS Clearing-House"
2020,1.0,"yes=1, no=0","4) Existence of legislative, administrative and policy framework or measures reported to the ABS Clearing-House"
2021,1.0,"yes=1, no=0","4) Existence of legislative, administrative and policy framework or measures reported to the ABS Clearing-House"
2022,1.0,"yes=1, no=0","4) Existence of legislative, administrative and policy framework or measures reported to the ABS Clearing-House"
2023,1.0,"yes=1, no=0","4) Existence of legislative, administrative and policy framework or measures reported to the ABS Clearing-House"
2024,1.0,"yes=1, no=0","4) Existence of legislative, administrative and policy framework or measures reported to the ABS Clearing-House"
2025,1.0,"yes=1, no=0","4) Existence of legislative, administrative and policy framework or measures reported to the ABS Clearing-House"
