Year,Units,Type of financial flow,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2014,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,999
2015,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,999
2016,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,999
2017,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,999
2018,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,999
2019,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,999
2020,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,999
2021,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,999
2022,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,999
2023,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,999
2024,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,999
2010,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,999
2011,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,999
2012,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,999
2013,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,999
2014,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,999
2015,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,999
2016,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,999
2017,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,999
2018,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,999
2019,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,999
2020,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,999
2021,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,999
2022,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,999
2023,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,999
2024,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,999
2010,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,999
2011,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,999
2012,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,999
2013,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,999
2014,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,999
2015,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,999
2016,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,999
2017,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,999
2018,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,999
2019,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,999
2020,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,999
2021,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,999
2022,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,999
2023,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,999
2024,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,999
2010,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,999
2011,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,999
2012,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,999
2013,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,999
2014,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,999
2015,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,999
2016,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,999
2017,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,999
2018,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,999
2019,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,999
2020,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,999
2021,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,999
2022,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,999
2023,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,999
2024,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,999
