Year,timeseries,legislation,Value
2011,(1a) national legislation and policy relevant to invasive alien species,international plant protection convention,1.0
2012,(1a) national legislation and policy relevant to invasive alien species,international plant protection convention,1.0
2013,(1a) national legislation and policy relevant to invasive alien species,international plant protection convention,1.0
2014,(1a) national legislation and policy relevant to invasive alien species,international plant protection convention,1.0
2015,(1a) national legislation and policy relevant to invasive alien species,international plant protection convention,1.0
2016,(1a) national legislation and policy relevant to invasive alien species,international plant protection convention,1.0
2017,(1a) national legislation and policy relevant to invasive alien species,international plant protection convention,1.0
2018,(1a) national legislation and policy relevant to invasive alien species,international plant protection convention,1.0
2019,(1a) national legislation and policy relevant to invasive alien species,international plant protection convention,1.0
2020,(1a) national legislation and policy relevant to invasive alien species,international plant protection convention,1.0
2021,(1a) national legislation and policy relevant to invasive alien species,international plant protection convention,1.0
2022,(1a) national legislation and policy relevant to invasive alien species,international plant protection convention,1.0
2010,(1a) national legislation and policy relevant to invasive alien species,agreement on sanitary and phytosanitary measures of the world trade organisation,1.0
2011,(1a) national legislation and policy relevant to invasive alien species,agreement on sanitary and phytosanitary measures of the world trade organisation,1.0
2012,(1a) national legislation and policy relevant to invasive alien species,agreement on sanitary and phytosanitary measures of the world trade organisation,1.0
2013,(1a) national legislation and policy relevant to invasive alien species,agreement on sanitary and phytosanitary measures of the world trade organisation,1.0
2014,(1a) national legislation and policy relevant to invasive alien species,agreement on sanitary and phytosanitary measures of the world trade organisation,1.0
2015,(1a) national legislation and policy relevant to invasive alien species,agreement on sanitary and phytosanitary measures of the world trade organisation,1.0
2016,(1a) national legislation and policy relevant to invasive alien species,agreement on sanitary and phytosanitary measures of the world trade organisation,1.0
2017,(1a) national legislation and policy relevant to invasive alien species,agreement on sanitary and phytosanitary measures of the world trade organisation,1.0
2018,(1a) national legislation and policy relevant to invasive alien species,agreement on sanitary and phytosanitary measures of the world trade organisation,1.0
2019,(1a) national legislation and policy relevant to invasive alien species,agreement on sanitary and phytosanitary measures of the world trade organisation,1.0
2020,(1a) national legislation and policy relevant to invasive alien species,agreement on sanitary and phytosanitary measures of the world trade organisation,1.0
2021,(1a) national legislation and policy relevant to invasive alien species,agreement on sanitary and phytosanitary measures of the world trade organisation,1.0
2022,(1a) national legislation and policy relevant to invasive alien species,agreement on sanitary and phytosanitary measures of the world trade organisation,1.0
2010,(1a) national legislation and policy relevant to invasive alien species,world organisation for animal health,1.0
2011,(1a) national legislation and policy relevant to invasive alien species,world organisation for animal health,1.0
2012,(1a) national legislation and policy relevant to invasive alien species,world organisation for animal health,1.0
2013,(1a) national legislation and policy relevant to invasive alien species,world organisation for animal health,1.0
2014,(1a) national legislation and policy relevant to invasive alien species,world organisation for animal health,1.0
2015,(1a) national legislation and policy relevant to invasive alien species,world organisation for animal health,1.0
2016,(1a) national legislation and policy relevant to invasive alien species,world organisation for animal health,1.0
2017,(1a) national legislation and policy relevant to invasive alien species,world organisation for animal health,1.0
2018,(1a) national legislation and policy relevant to invasive alien species,world organisation for animal health,1.0
2019,(1a) national legislation and policy relevant to invasive alien species,world organisation for animal health,1.0
2020,(1a) national legislation and policy relevant to invasive alien species,world organisation for animal health,1.0
2021,(1a) national legislation and policy relevant to invasive alien species,world organisation for animal health,1.0
2022,(1a) national legislation and policy relevant to invasive alien species,world organisation for animal health,1.0
2010,(1a) national legislation and policy relevant to invasive alien species,convention on international trade in endangered species,1.0
2011,(1a) national legislation and policy relevant to invasive alien species,convention on international trade in endangered species,1.0
2012,(1a) national legislation and policy relevant to invasive alien species,convention on international trade in endangered species,1.0
2013,(1a) national legislation and policy relevant to invasive alien species,convention on international trade in endangered species,1.0
2014,(1a) national legislation and policy relevant to invasive alien species,convention on international trade in endangered species,1.0
2015,(1a) national legislation and policy relevant to invasive alien species,convention on international trade in endangered species,1.0
2016,(1a) national legislation and policy relevant to invasive alien species,convention on international trade in endangered species,1.0
2017,(1a) national legislation and policy relevant to invasive alien species,convention on international trade in endangered species,1.0
2018,(1a) national legislation and policy relevant to invasive alien species,convention on international trade in endangered species,1.0
2019,(1a) national legislation and policy relevant to invasive alien species,convention on international trade in endangered species,1.0
2020,(1a) national legislation and policy relevant to invasive alien species,convention on international trade in endangered species,1.0
2021,(1a) national legislation and policy relevant to invasive alien species,convention on international trade in endangered species,1.0
2022,(1a) national legislation and policy relevant to invasive alien species,convention on international trade in endangered species,1.0
2010,(1a) national legislation and policy relevant to invasive alien species,ramsar convention,1.0
2011,(1a) national legislation and policy relevant to invasive alien species,ramsar convention,1.0
2012,(1a) national legislation and policy relevant to invasive alien species,ramsar convention,1.0
2013,(1a) national legislation and policy relevant to invasive alien species,ramsar convention,1.0
2014,(1a) national legislation and policy relevant to invasive alien species,ramsar convention,1.0
2015,(1a) national legislation and policy relevant to invasive alien species,ramsar convention,1.0
2016,(1a) national legislation and policy relevant to invasive alien species,ramsar convention,1.0
2017,(1a) national legislation and policy relevant to invasive alien species,ramsar convention,1.0
2018,(1a) national legislation and policy relevant to invasive alien species,ramsar convention,1.0
2019,(1a) national legislation and policy relevant to invasive alien species,ramsar convention,1.0
2020,(1a) national legislation and policy relevant to invasive alien species,ramsar convention,1.0
2021,(1a) national legislation and policy relevant to invasive alien species,ramsar convention,1.0
2022,(1a) national legislation and policy relevant to invasive alien species,ramsar convention,1.0
2010,(1a) national legislation and policy relevant to invasive alien species,convention on the conservation of migratory species of wild animals,1.0
2011,(1a) national legislation and policy relevant to invasive alien species,convention on the conservation of migratory species of wild animals,1.0
2012,(1a) national legislation and policy relevant to invasive alien species,convention on the conservation of migratory species of wild animals,1.0
2013,(1a) national legislation and policy relevant to invasive alien species,convention on the conservation of migratory species of wild animals,1.0
2014,(1a) national legislation and policy relevant to invasive alien species,convention on the conservation of migratory species of wild animals,1.0
2015,(1a) national legislation and policy relevant to invasive alien species,convention on the conservation of migratory species of wild animals,1.0
2016,(1a) national legislation and policy relevant to invasive alien species,convention on the conservation of migratory species of wild animals,1.0
2017,(1a) national legislation and policy relevant to invasive alien species,convention on the conservation of migratory species of wild animals,1.0
2018,(1a) national legislation and policy relevant to invasive alien species,convention on the conservation of migratory species of wild animals,1.0
2019,(1a) national legislation and policy relevant to invasive alien species,convention on the conservation of migratory species of wild animals,1.0
2020,(1a) national legislation and policy relevant to invasive alien species,convention on the conservation of migratory species of wild animals,1.0
2021,(1a) national legislation and policy relevant to invasive alien species,convention on the conservation of migratory species of wild animals,1.0
2022,(1a) national legislation and policy relevant to invasive alien species,convention on the conservation of migratory species of wild animals,1.0
2010,(1a) national legislation and policy relevant to invasive alien species,world heritage convention,1.0
2011,(1a) national legislation and policy relevant to invasive alien species,world heritage convention,1.0
2012,(1a) national legislation and policy relevant to invasive alien species,world heritage convention,1.0
2013,(1a) national legislation and policy relevant to invasive alien species,world heritage convention,1.0
2014,(1a) national legislation and policy relevant to invasive alien species,world heritage convention,1.0
2015,(1a) national legislation and policy relevant to invasive alien species,world heritage convention,1.0
2016,(1a) national legislation and policy relevant to invasive alien species,world heritage convention,1.0
2017,(1a) national legislation and policy relevant to invasive alien species,world heritage convention,1.0
2018,(1a) national legislation and policy relevant to invasive alien species,world heritage convention,1.0
2019,(1a) national legislation and policy relevant to invasive alien species,world heritage convention,1.0
2020,(1a) national legislation and policy relevant to invasive alien species,world heritage convention,1.0
2021,(1a) national legislation and policy relevant to invasive alien species,world heritage convention,1.0
2022,(1a) national legislation and policy relevant to invasive alien species,world heritage convention,1.0
2010,(1a) national legislation and policy relevant to invasive alien species,international convention for the control and management of ship's ballast water and sediments,1.0
2011,(1a) national legislation and policy relevant to invasive alien species,international convention for the control and management of ship's ballast water and sediments,1.0
2012,(1a) national legislation and policy relevant to invasive alien species,international convention for the control and management of ship's ballast water and sediments,1.0
2013,(1a) national legislation and policy relevant to invasive alien species,international convention for the control and management of ship's ballast water and sediments,1.0
2014,(1a) national legislation and policy relevant to invasive alien species,international convention for the control and management of ship's ballast water and sediments,1.0
2015,(1a) national legislation and policy relevant to invasive alien species,international convention for the control and management of ship's ballast water and sediments,1.0
2016,(1a) national legislation and policy relevant to invasive alien species,international convention for the control and management of ship's ballast water and sediments,1.0
2017,(1a) national legislation and policy relevant to invasive alien species,international convention for the control and management of ship's ballast water and sediments,1.0
2018,(1a) national legislation and policy relevant to invasive alien species,international convention for the control and management of ship's ballast water and sediments,1.0
2019,(1a) national legislation and policy relevant to invasive alien species,international convention for the control and management of ship's ballast water and sediments,1.0
2020,(1a) national legislation and policy relevant to invasive alien species,international convention for the control and management of ship's ballast water and sediments,1.0
2021,(1a) national legislation and policy relevant to invasive alien species,international convention for the control and management of ship's ballast water and sediments,1.0
2022,(1a) national legislation and policy relevant to invasive alien species,international convention for the control and management of ship's ballast water and sediments,1.0
2010,(1b) targets and objectives within national strategies for preventing and controlling invasive alien species aligned with aichi target 9,,1.0
2011,(1b) targets and objectives within national strategies for preventing and controlling invasive alien species aligned with aichi target 9,,1.0
2012,(1b) targets and objectives within national strategies for preventing and controlling invasive alien species aligned with aichi target 9,,1.0
2013,(1b) targets and objectives within national strategies for preventing and controlling invasive alien species aligned with aichi target 9,,1.0
2014,(1b) targets and objectives within national strategies for preventing and controlling invasive alien species aligned with aichi target 9,,1.0
2015,(1b) targets and objectives within national strategies for preventing and controlling invasive alien species aligned with aichi target 9,,1.0
2016,(1b) targets and objectives within national strategies for preventing and controlling invasive alien species aligned with aichi target 9,,1.0
2017,(1b) targets and objectives within national strategies for preventing and controlling invasive alien species aligned with aichi target 9,,1.0
2018,(1b) targets and objectives within national strategies for preventing and controlling invasive alien species aligned with aichi target 9,,1.0
2019,(1b) targets and objectives within national strategies for preventing and controlling invasive alien species aligned with aichi target 9,,1.0
2020,(1b) targets and objectives within national strategies for preventing and controlling invasive alien species aligned with aichi target 9,,1.0
2021,(1b) targets and objectives within national strategies for preventing and controlling invasive alien species aligned with aichi target 9,,1.0
2022,(1b) targets and objectives within national strategies for preventing and controlling invasive alien species aligned with aichi target 9,,1.0
2010,(2) national allocation of resources towards the prevention or control of ias,,
2011,(2) national allocation of resources towards the prevention or control of ias,,
2012,(2) national allocation of resources towards the prevention or control of ias,,
2013,(2) national allocation of resources towards the prevention or control of ias,,
2014,(2) national allocation of resources towards the prevention or control of ias,,
2015,(2) national allocation of resources towards the prevention or control of ias,,
2016,(2) national allocation of resources towards the prevention or control of ias,,
2017,(2) national allocation of resources towards the prevention or control of ias,,
2018,(2) national allocation of resources towards the prevention or control of ias,,
2019,(2) national allocation of resources towards the prevention or control of ias,,
2020,(2) national allocation of resources towards the prevention or control of ias,,
2021,(2) national allocation of resources towards the prevention or control of ias,,
2022,(2) national allocation of resources towards the prevention or control of ias,,1.0
